Unnamed: 0,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude,Total_Bathrooms,House_Age,Years_Since_Remodel,Total_Porch_SF,Total_Living_Area,Total_Outdoor_Area
1,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141,31770,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,3,North_Ames,Norm,Norm,OneFam,One_Story,Average,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112,3,CBlock,4,4,4,2,1,0,441,1080,GasA,2,Y,SBrkr,1656,0,1656,1,0,1,0,3,1,7,8,2,Attchd,3,2,528,3,1,210,62,0,0,0,0,0,0,,0,5,2010,WD ,Normal,215000,-93.619754,42.054035,2.0,50,50,62,2736,272
2,One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80,11622,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,North_Ames,Feedr,Norm,OneFam,One_Story,Above_Average,1961,1961,Gable,CompShg,VinylSd,VinylSd,,0,3,CBlock,3,1,3,6,2,144,270,882,GasA,3,Y,SBrkr,896,0,896,0,0,1,0,2,1,5,8,0,Attchd,1,1,730,3,2,140,0,0,0,120,0,0,3,,0,6,2010,WD ,Normal,105000,-93.619756,42.053014,1.0,49,49,120,1778,260
3,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,14267,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,3,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,3,CBlock,3,1,5,1,1,0,406,1329,GasA,3,Y,SBrkr,1329,0,1329,0,0,1,1,3,1,6,8,0,Attchd,1,1,312,3,2,393,36,0,0,0,0,0,0,Gar2,12500,6,2010,WD ,Normal,172000,-93.6193873,42.052659,1.5,52,52,36,2658,429
4,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93,11160,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,3,North_Ames,Norm,Norm,OneFam,One_Story,Average,1968,1968,Hip,CompShg,BrkFace,BrkFace,,0,3,CBlock,3,1,5,1,1,0,1045,2110,GasA,5,Y,SBrkr,2110,0,2110,1,0,2,1,3,1,8,8,2,Attchd,3,2,522,3,2,0,0,0,0,0,0,0,0,,0,4,2010,WD ,Normal,244000,-93.61732,42.051245,3.5,42,42,0,4220,0
5,Two_Story_1946_and_Newer,Residential_Low_Density,74,13830,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1997,1998,Gable,CompShg,VinylSd,VinylSd,,0,3,PConc,3,1,6,3,1,0,137,928,GasA,4,Y,SBrkr,928,701,1629,0,0,2,1,3,1,6,8,1,Attchd,3,2,482,3,2,212,34,0,0,0,0,0,3,,0,3,2010,WD ,Normal,189900,-93.638933,42.060899,2.5,13,12,34,2557,246
6,Two_Story_1946_and_Newer,Residential_Low_Density,78,9978,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,3,PConc,3,1,6,3,1,0,324,926,GasA,5,Y,SBrkr,926,678,1604,0,0,2,1,3,1,7,8,1,Attchd,3,2,470,3,2,360,36,0,0,0,0,0,0,,0,6,2010,WD ,Normal,195500,-93.638925,42.060779,2.5,12,12,36,2530,396
7,One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,4920,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,2001,2001,Gable,CompShg,CemntBd,CmentBd,,0,3,PConc,3,2,6,3,1,0,722,1338,GasA,5,Y,SBrkr,1338,0,1338,1,0,2,0,2,1,6,8,0,Attchd,3,2,582,3,2,0,0,170,0,0,0,0,0,,0,4,2010,WD ,Normal,213500,-93.633792,42.062978,3.0,9,9,170,2676,170
8,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,5005,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,3,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1992,1992,Gable,CompShg,HdBoard,HdBoard,,0,3,PConc,3,1,5,1,1,0,1017,1280,GasA,5,Y,SBrkr,1280,0,1280,0,0,2,0,2,1,5,8,0,Attchd,2,2,506,3,2,0,82,0,0,144,0,0,0,,0,1,2010,WD ,Normal,191500,-93.633826,42.060728,2.0,18,18,226,2560,226
9,One_Story_PUD_1946_and_Newer,Residential_Low_Density,39,5389,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1995,1996,Gable,CompShg,CemntBd,CmentBd,,0,3,PConc,3,1,6,3,1,0,415,1595,GasA,5,Y,SBrkr,1616,0,1616,1,0,2,0,2,1,5,8,1,Attchd,2,2,608,3,2,237,152,0,0,0,0,0,0,,0,3,2010,WD ,Normal,236500,-93.632852,42.06112,3.0,15,14,152,3211,389
10,Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,,0,3,PConc,3,1,1,7,1,0,994,994,GasA,4,Y,SBrkr,1028,776,1804,0,0,2,1,3,1,7,8,1,Attchd,3,2,442,3,2,140,60,0,0,0,0,0,0,,0,6,2010,WD ,Normal,189000,-93.639068,42.059193,2.5,11,11,60,2798,200
